package_id,package_name,country,cities_covered,duration,hotel_category,meals,transportation,major_attractions,activities,package_type,best_for,rating,estimated_cost,unnamed:_14,budget_category,duration_category,package_profile
CAM007,cambodia nature explorer,cambodia,cardamom mountains tonl sap,7,eco resort,breakfast dinner,shared transfers,cardamom national park tonl sap biosphere reserve,bird watching kayaking nature trails,nature wildlife,nature lovers,4.7,72000,,premium,vacation,cambodia cambodia cambodia cambodia bird watching kayaking nature trails bird watching kayaking nature trails bird watching kayaking nature trails bird watching kayaking nature trails cardamom mountains tonl sap cardamom mountains tonl sap cardamom mountains tonl sap nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers cardamom national park tonl sap biosphere reserve cardamom national park tonl sap biosphere reserve eco resort eco resort premium premium vacation vacation shared transfers breakfast dinner
CAM008,ultimate cambodia grand tour,cambodia,phnom penh siem reap battambang koh rong,10,5star hotel,breakfast dinner,domestic flight private coach,angkor wat bayon temple royal palace bamboo train koh rong beaches,temple tours island excursions cultural shows shopping,grand tour,all travelers,5.0,185000,,luxury,vacation,cambodia cambodia cambodia cambodia temple tours island excursions cultural shows shopping temple tours island excursions cultural shows shopping temple tours island excursions cultural shows shopping temple tours island excursions cultural shows shopping phnom penh siem reap battambang koh rong phnom penh siem reap battambang koh rong phnom penh siem reap battambang koh rong grand tour grand tour grand tour all travelers all travelers all travelers angkor wat bayon temple royal palace bamboo train koh rong beaches angkor wat bayon temple royal palace bamboo train koh rong beaches 5star hotel 5star hotel luxury luxury vacation vacation domestic flight private coach breakfast dinner
CAN001,canada budget explorer,canada,toronto ottawa,7,3star hotel,breakfast,airport transfers intercity coach,cn tower parliament hill rideau canal distillery district,city tours museum visits shopping,budget,students solo travelers,4.4,125000,,luxury,vacation,canada canada canada canada city tours museum visits shopping city tours museum visits shopping city tours museum visits shopping city tours museum visits shopping toronto ottawa toronto ottawa toronto ottawa budget budget budget students solo travelers students solo travelers students solo travelers cn tower parliament hill rideau canal distillery district cn tower parliament hill rideau canal distillery district 3star hotel 3star hotel luxury luxury vacation vacation airport transfers intercity coach breakfast
CAN002,canada family adventure,canada,toronto niagara falls,8,4star hotel,breakfast dinner,private transfers,niagara falls cn tower ripleys aquarium journey behind the falls,boat cruise family sightseeing aquarium visit,family,families,4.8,175000,,luxury,vacation,canada canada canada canada boat cruise family sightseeing aquarium visit boat cruise family sightseeing aquarium visit boat cruise family sightseeing aquarium visit boat cruise family sightseeing aquarium visit toronto niagara falls toronto niagara falls toronto niagara falls family family family families families families niagara falls cn tower ripleys aquarium journey behind the falls niagara falls cn tower ripleys aquarium journey behind the falls 4star hotel 4star hotel luxury luxury vacation vacation private transfers breakfast dinner
CAN003,canada romantic escape,canada,banff lake louise,7,5star mountain resort,breakfast romantic dinner,private transfers,banff national park lake louise moraine lake,gondola ride couples spa scenic picnic sunset walk,honeymoon,couples,4.9,245000,,luxury,vacation,canada canada canada canada gondola ride couples spa scenic picnic sunset walk gondola ride couples spa scenic picnic sunset walk gondola ride couples spa scenic picnic sunset walk gondola ride couples spa scenic picnic sunset walk banff lake louise banff lake louise banff lake louise honeymoon honeymoon honeymoon couples couples couples banff national park lake louise moraine lake banff national park lake louise moraine lake 5star mountain resort 5star mountain resort luxury luxury vacation vacation private transfers breakfast romantic dinner
CAN004,canada adventure expedition,canada,banff jasper,10,4star lodge,breakfast,rental suv park transfers,icefields parkway athabasca glacier maligne lake,hiking glacier walk canoeing wildlife safari,adventure,adventure lovers,4.8,215000,,luxury,vacation,canada canada canada canada hiking glacier walk canoeing wildlife safari hiking glacier walk canoeing wildlife safari hiking glacier walk canoeing wildlife safari hiking glacier walk canoeing wildlife safari banff jasper banff jasper banff jasper adventure adventure adventure adventure lovers adventure lovers adventure lovers icefields parkway athabasca glacier maligne lake icefields parkway athabasca glacier maligne lake 4star lodge 4star lodge luxury luxury vacation vacation rental suv park transfers breakfast
CAN005,canada luxury escape,canada,vancouver whistler victoria,10,5star luxury hotel,all meals,private luxury transfers seaplane transfer,stanley park butchart gardens whistler village,private yacht spa fine dining helicopter tour,luxury,premium travelers,5.0,395000,,luxury,vacation,canada canada canada canada private yacht spa fine dining helicopter tour private yacht spa fine dining helicopter tour private yacht spa fine dining helicopter tour private yacht spa fine dining helicopter tour vancouver whistler victoria vancouver whistler victoria vancouver whistler victoria luxury luxury luxury premium travelers premium travelers premium travelers stanley park butchart gardens whistler village stanley park butchart gardens whistler village 5star luxury hotel 5star luxury hotel luxury luxury vacation vacation private luxury transfers seaplane transfer all meals
CAN006,canada cultural heritage tour,canada,qubec city montral,8,4star hotel,breakfast,private coach,old qubec notredame basilica chteau frontenac old montral,heritage walks museum tours french cuisine experience,cultural,history enthusiasts,4.7,155000,,luxury,vacation,canada canada canada canada heritage walks museum tours french cuisine experience heritage walks museum tours french cuisine experience heritage walks museum tours french cuisine experience heritage walks museum tours french cuisine experience qubec city montral qubec city montral qubec city montral cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts old qubec notredame basilica chteau frontenac old montral old qubec notredame basilica chteau frontenac old montral 4star hotel 4star hotel luxury luxury vacation vacation private coach breakfast
CAN007,canada nature wildlife explorer,canada,churchill winnipeg,9,eco lodge,breakfast dinner,domestic flights shared transfers,wapusk national park hudson bay churchill wildlife area,polar bear safari beluga whale watching northern lights viewing,nature wildlife,nature lovers,4.9,275000,,luxury,vacation,canada canada canada canada polar bear safari beluga whale watching northern lights viewing polar bear safari beluga whale watching northern lights viewing polar bear safari beluga whale watching northern lights viewing polar bear safari beluga whale watching northern lights viewing churchill winnipeg churchill winnipeg churchill winnipeg nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers wapusk national park hudson bay churchill wildlife area wapusk national park hudson bay churchill wildlife area eco lodge eco lodge luxury luxury vacation vacation domestic flights shared transfers breakfast dinner
CAN008,ultimate canada grand tour,canada,toronto ottawa montral qubec city banff vancouver,15,5star hotels,breakfast dinner,domestic flights luxury coach private transfers,niagara falls cn tower banff national park lake louise stanley park old qubec,city tours wildlife viewing scenic train ride shopping adventure activities,grand tour,all travelers,5.0,495000,,luxury,long_trip,canada canada canada canada city tours wildlife viewing scenic train ride shopping adventure activities city tours wildlife viewing scenic train ride shopping adventure activities city tours wildlife viewing scenic train ride shopping adventure activities city tours wildlife viewing scenic train ride shopping adventure activities toronto ottawa montral qubec city banff vancouver toronto ottawa montral qubec city banff vancouver toronto ottawa montral qubec city banff vancouver grand tour grand tour grand tour all travelers all travelers all travelers niagara falls cn tower banff national park lake louise stanley park old qubec niagara falls cn tower banff national park lake louise stanley park old qubec 5star hotels 5star hotels luxury luxury long_trip long_trip domestic flights luxury coach private transfers breakfast dinner
CHN001,china budget explorer,china,beijing shanghai,7,3star hotel,breakfast,airport transfers highspeed train,great wall of china forbidden city the bund yu garden,city tours shopping local food walk,budget,students solo travelers,4.5,95000,,premium,vacation,china china china china city tours shopping local food walk city tours shopping local food walk city tours shopping local food walk city tours shopping local food walk beijing shanghai beijing shanghai beijing shanghai budget budget budget students solo travelers students solo travelers students solo travelers great wall of china forbidden city the bund yu garden great wall of china forbidden city the bund yu garden 3star hotel 3star hotel premium premium vacation vacation airport transfers highspeed train breakfast
CHN002,china family discovery,china,beijing xian,8,4star hotel,breakfast dinner,private transfers highspeed train,great wall forbidden city terracotta army bell tower,cultural tours museum visits family activities,family,families,4.8,145000,,luxury,vacation,china china china china cultural tours museum visits family activities cultural tours museum visits family activities cultural tours museum visits family activities cultural tours museum visits family activities beijing xian beijing xian beijing xian family family family families families families great wall forbidden city terracotta army bell tower great wall forbidden city terracotta army bell tower 4star hotel 4star hotel luxury luxury vacation vacation private transfers highspeed train breakfast dinner
CHN003,china romantic escape,china,shanghai hangzhou,7,5star hotel,breakfast romantic dinner,private transfers,west lake the bund oriental pearl tower xintiandi,sunset cruise tea plantation visit spa,honeymoon,couples,4.9,195000,,luxury,vacation,china china china china sunset cruise tea plantation visit spa sunset cruise tea plantation visit spa sunset cruise tea plantation visit spa sunset cruise tea plantation visit spa shanghai hangzhou shanghai hangzhou shanghai hangzhou honeymoon honeymoon honeymoon couples couples couples west lake the bund oriental pearl tower xintiandi west lake the bund oriental pearl tower xintiandi 5star hotel 5star hotel luxury luxury vacation vacation private transfers breakfast romantic dinner
CHN004,china adventure expedition,china,zhangjiajie guilin,9,4star hotel,breakfast,domestic flights private coach,zhangjiajie national forest park glass bridge li river reed flute cave,hiking cable car ride river cruise,adventure,adventure lovers,4.8,185000,,luxury,vacation,china china china china hiking cable car ride river cruise hiking cable car ride river cruise hiking cable car ride river cruise hiking cable car ride river cruise zhangjiajie guilin zhangjiajie guilin zhangjiajie guilin adventure adventure adventure adventure lovers adventure lovers adventure lovers zhangjiajie national forest park glass bridge li river reed flute cave zhangjiajie national forest park glass bridge li river reed flute cave 4star hotel 4star hotel luxury luxury vacation vacation domestic flights private coach breakfast
CHN005,china luxury escape,china,beijing shanghai hangzhou,10,5star luxury hotel,all meals,business class domestic flights private transfers,great wall forbidden city west lake the bund,private city tours luxury shopping fine dining spa,luxury,premium travelers,5.0,325000,,luxury,vacation,china china china china private city tours luxury shopping fine dining spa private city tours luxury shopping fine dining spa private city tours luxury shopping fine dining spa private city tours luxury shopping fine dining spa beijing shanghai hangzhou beijing shanghai hangzhou beijing shanghai hangzhou luxury luxury luxury premium travelers premium travelers premium travelers great wall forbidden city west lake the bund great wall forbidden city west lake the bund 5star luxury hotel 5star luxury hotel luxury luxury vacation vacation business class domestic flights private transfers all meals
CHN006,china cultural heritage tour,china,beijing xian luoyang,9,4star hotel,breakfast,highspeed train private coach,forbidden city temple of heaven terracotta army longmen grottoes,heritage walks museum tours traditional performances,cultural,history enthusiasts,4.8,165000,,luxury,vacation,china china china china heritage walks museum tours traditional performances heritage walks museum tours traditional performances heritage walks museum tours traditional performances heritage walks museum tours traditional performances beijing xian luoyang beijing xian luoyang beijing xian luoyang cultural cultural cultural history enthusiasts history enthusiasts history enthusiasts forbidden city temple of heaven terracotta army longmen grottoes forbidden city temple of heaven terracotta army longmen grottoes 4star hotel 4star hotel luxury luxury vacation vacation highspeed train private coach breakfast
CHN007,china nature explorer,china,jiuzhaigou huangshan,8,eco resort,breakfast dinner,domestic flights shared transfers,jiuzhaigou valley huangshan yellow mountain five flower lake,hiking photography nature trails,nature wildlife,nature lovers,4.9,175000,,luxury,vacation,china china china china hiking photography nature trails hiking photography nature trails hiking photography nature trails hiking photography nature trails jiuzhaigou huangshan jiuzhaigou huangshan jiuzhaigou huangshan nature wildlife nature wildlife nature wildlife nature lovers nature lovers nature lovers jiuzhaigou valley huangshan yellow mountain five flower lake jiuzhaigou valley huangshan yellow mountain five flower lake eco resort eco resort luxury luxury vacation vacation domestic flights shared transfers breakfast dinner
CHN008,ultimate china grand tour,china,beijing xian shanghai guilin zhangjiajie,15,5star hotels,breakfast dinner,domestic flights highspeed train private transfers,great wall forbidden city terracotta army the bund li river zhangjiajie national forest park,city tours river cruise hiking cultural shows shopping,grand tour,all travelers,5.0,395000,,luxury,long_trip,china china china china city tours river cruise hiking cultural shows shopping city tours river cruise hiking cultural shows shopping city tours river cruise hiking cultural shows shopping city tours river cruise hiking cultural shows shopping beijing xian shanghai guilin zhangjiajie beijing xian shanghai guilin zhangjiajie beijing xian shanghai guilin zhangjiajie grand tour grand tour grand tour all travelers all travelers all travelers great wall forbidden city terracotta army the bund li river zhangjiajie national forest park great wall forbidden city terracotta army the bund li river zhangjiajie national forest park 5star hotels 5star hotels luxury luxury long_trip long_trip domestic flights highspeed train private transfers breakfast dinner
FRA001,france budget explorer,france,paris lyon,6,3star hotel,breakfast,airport transfers highspeed train,eiffel tower louvre museum notredame cathedral basilica of notredame de fourvire,city tours museum visits shopping,budget,students solo travelers,4.5,120000,,luxury,short_trip,france france france france city tours museum visits shopping city tours museum visits shopping city tours museum visits shopping city tours museum visits shopping paris lyon paris lyon paris lyon budget budget budget students solo travelers students solo travelers students solo travelers eiffel tower louvre museum notredame cathedral basilica of notredame de fourvire eiffel tower louvre museum notredame cathedral basilica of notredame de fourvire 3star hotel 3star hotel luxury luxury short_trip short_trip airport transfers highspeed train breakfast
FRA002,france family discovery,france,paris disneyland paris,7,4star hotel,breakfast dinner,private transfers,eiffel tower disneyland paris seine river arc de triomphe,theme park visits river cruise family sightseeing,family,families,4.8,185000,,luxury,vacation,france france france france theme park visits river cruise family sightseeing theme park visits river cruise family sightseeing theme park visits river cruise family sightseeing theme park visits river cruise family sightseeing paris disneyland paris paris disneyland paris paris disneyland paris family family family families families families eiffel tower disneyland paris seine river arc de triomphe eiffel tower disneyland paris seine river arc de triomphe 4star hotel 4star hotel luxury luxury vacation vacation private transfers breakfast dinner
