Package ID,Package Name,Country,Cities Covered,Duration,Hotel Category,Meals,Transportation,Major Attractions,Activities,Package Type,Best For,Rating,Estimated Cost
BRA003,Brazil Romantic Escape,Brazil,"Rio de Janeiro, B�zios",8D/7N,5-Star Beach Resort,Breakfast + Romantic Dinner,Private Luxury Transfers,"Copacabana Beach, Sugarloaf Mountain, Ferradura Beach","Sunset Cruise, Spa, Beach Relaxation",Honeymoon,Couples,4.9,245000
BRA004,Brazil Adventure Expedition,Brazil,"Manaus, Amazon Rainforest",10D/9N,Jungle Lodge,Breakfast + Lunch + Dinner,"Domestic Flights, River Boat","Amazon Rainforest, Meeting of Waters, Anavilhanas Archipelago","Jungle Trekking, Canoeing, Wildlife Safari, Fishing",Adventure,Adventure Lovers,4.8,215000
BRA005,Brazil Luxury Escape,Brazil,"Rio de Janeiro, S?o Paulo, Fernando de Noronha",12D/11N,5-Star Luxury Hotels,All Meals,"Business Class Flights, Private Transfers","Christ the Redeemer, Sugarloaf Mountain, Fernando de Noronha Beaches","Private Yacht, Helicopter Tour, Fine Dining",Luxury,Premium Travelers,5,425000
BRA006,Brazil Cultural Heritage Tour,Brazil,"Salvador, Rio de Janeiro",8D/7N,4-Star Hotel,Breakfast,Private Coach,"Pelourinho Historic Centre, Lacerda Elevator, Christ the Redeemer","Cultural Walks, Museum Visits, Samba Show",Cultural,History Enthusiasts,4.6,145000
BRA007,Brazil Nature & Wildlife Explorer,Brazil,"Pantanal, Bonito",9D/8N,Eco Lodge,Breakfast + Dinner,"Domestic Flights, Shared Transfers","Pantanal Wetlands, Blue Lake Cave, Rio da Prata","Bird Watching, Snorkeling, Wildlife Safari, Nature Trails",Nature & Wildlife,Nature Lovers,4.8,195000
BRA008,Ultimate Brazil Grand Tour,Brazil,"Rio de Janeiro, S?o Paulo, Iguazu Falls, Salvador, Manaus",15D/14N,5-Star Hotels,Breakfast + Dinner,"Domestic Flights, Luxury Coach, Private Transfers","Christ the Redeemer, Sugarloaf Mountain, Copacabana Beach, Iguazu Falls, Amazon Rainforest, Pelourinho","City Tours, Jungle Safari, Beach Excursions, Cultural Shows, Shopping",Grand Tour,All Travelers,5,485000
CAM001,Cambodia Budget Explorer,Cambodia,"Phnom Penh, Siem Reap",5D/4N,3-Star Hotel,Breakfast,"Airport Transfers, Shared Coach","Angkor Wat, Royal Palace, National Museum, Pub Street","Temple Tours, Local Markets, Cultural Walks",Budget,"Students, Solo Travelers",4.4,35000
CAM002,Cambodia Family Discovery,Cambodia,"Siem Reap, Phnom Penh",6D/5N,4-Star Hotel,Breakfast + Dinner,Private Transfers,"Angkor Thom, Bayon Temple, Royal Palace, Tonl� Sap Lake","Family Sightseeing, Boat Cruise, Cultural Shows",Family,Families,4.7,55000
CAM003,Cambodia Romantic Escape,Cambodia,"Siem Reap, Koh Rong",6D/5N,5-Star Resort,Breakfast + Romantic Dinner,"Private Transfers, Domestic Flight","Angkor Wat, Koh Rong Beaches, Sunset Point","Beach Relaxation, Spa, Sunset Cruise",Honeymoon,Couples,4.9,95000
CAM004,Cambodia Adventure Expedition,Cambodia,"Mondulkiri, Siem Reap",7D/6N,Eco Lodge,Breakfast + Lunch,Domestic Transfers,"Mondulkiri Forests, Elephant Valley Project, Angkor Archaeological Park","Jungle Trekking, Wildlife Encounters, Hiking",Adventure,Adventure Lovers,4.8,78000
CAM005,Cambodia Luxury Escape,Cambodia,"Phnom Penh, Siem Reap, Koh Rong",9D/8N,5-Star Luxury Resort,All Meals,"Private Luxury Transfers, Domestic Flight","Angkor Wat, Royal Palace, Koh Rong Island","Luxury Spa, Private Cruise, Fine Dining",Luxury,Premium Travelers,5,165000
CAM006,Cambodia Cultural Heritage Tour,Cambodia,"Phnom Penh, Siem Reap",7D/6N,4-Star Hotel,Breakfast,Private Coach,"Angkor Thom, Ta Prohm, Royal Palace, National Museum","Heritage Tours, Traditional Dance Show, Museum Visits",Cultural,History Enthusiasts,4.8,68000
CAM007,Cambodia Nature Explorer,Cambodia,"Cardamom Mountains, Tonl� Sap",7D/6N,Eco Resort,Breakfast + Dinner,Shared Transfers,"Cardamom National Park, Tonl� Sap Biosphere Reserve","Bird Watching, Kayaking, Nature Trails",Nature & Wildlife,Nature Lovers,4.7,72000
CAM008,Ultimate Cambodia Grand Tour,Cambodia,"Phnom Penh, Siem Reap, Battambang, Koh Rong",10D/9N,5-Star Hotel,Breakfast + Dinner,"Domestic Flight, Private Coach","Angkor Wat, Bayon Temple, Royal Palace, Bamboo Train, Koh Rong Beaches","Temple Tours, Island Excursions, Cultural Shows, Shopping",Grand Tour,All Travelers,5,185000
CAN001,Canada Budget Explorer,Canada,"Toronto, Ottawa",7D/6N,3-Star Hotel,Breakfast,"Airport Transfers, Intercity Coach","CN Tower, Parliament Hill, Rideau Canal, Distillery District","City Tours, Museum Visits, Shopping",Budget,"Students, Solo Travelers",4.4,125000
CAN002,Canada Family Adventure,Canada,"Toronto, Niagara Falls",8D/7N,4-Star Hotel,Breakfast + Dinner,Private Transfers,"Niagara Falls, CN Tower, Ripley's Aquarium, Journey Behind the Falls","Boat Cruise, Family Sightseeing, Aquarium Visit",Family,Families,4.8,175000
CAN003,Canada Romantic Escape,Canada,"Banff, Lake Louise",7D/6N,5-Star Mountain Resort,Breakfast + Romantic Dinner,Private Transfers,"Banff National Park, Lake Louise, Moraine Lake","Gondola Ride, Couples Spa, Scenic Picnic, Sunset Walk",Honeymoon,Couples,4.9,245000
CAN004,Canada Adventure Expedition,Canada,"Banff, Jasper",10D/9N,4-Star Lodge,Breakfast,"Rental SUV, Park Transfers","Icefields Parkway, Athabasca Glacier, Maligne Lake","Hiking, Glacier Walk, Canoeing, Wildlife Safari",Adventure,Adventure Lovers,4.8,215000
CAN005,Canada Luxury Escape,Canada,"Vancouver, Whistler, Victoria",10D/9N,5-Star Luxury Hotel,All Meals,"Private Luxury Transfers, Seaplane Transfer","Stanley Park, Butchart Gardens, Whistler Village","Private Yacht, Spa, Fine Dining, Helicopter Tour",Luxury,Premium Travelers,5,395000
CAN006,Canada Cultural Heritage Tour,Canada,"Qu�bec City, Montr�al",8D/7N,4-Star Hotel,Breakfast,Private Coach,"Old Qu�bec, Notre-Dame Basilica, Ch�teau Frontenac, Old Montr�al","Heritage Walks, Museum Tours, French Cuisine Experience",Cultural,History Enthusiasts,4.7,155000
CAN007,Canada Nature & Wildlife Explorer,Canada,"Churchill, Winnipeg",9D/8N,Eco Lodge,Breakfast + Dinner,"Domestic Flights, Shared Transfers","Wapusk National Park, Hudson Bay, Churchill Wildlife Area","Polar Bear Safari, Beluga Whale Watching, Northern Lights Viewing",Nature & Wildlife,Nature Lovers,4.9,275000
CAN008,Ultimate Canada Grand Tour,Canada,"Toronto, Ottawa, Montr�al, Qu�bec City, Banff, Vancouver",15D/14N,5-Star Hotels,Breakfast + Dinner,"Domestic Flights, Luxury Coach, Private Transfers","Niagara Falls, CN Tower, Banff National Park, Lake Louise, Stanley Park, Old Qu�bec","City Tours, Wildlife Viewing, Scenic Train Ride, Shopping, Adventure Activities",Grand Tour,All Travelers,5,495000
CHN001,China Budget Explorer,China,"Beijing, Shanghai",7D/6N,3-Star Hotel,Breakfast,"Airport Transfers, High-Speed Train","Great Wall of China, Forbidden City, The Bund, Yu Garden","City Tours, Shopping, Local Food Walk",Budget,"Students, Solo Travelers",4.5,95000
CHN002,China Family Discovery,China,"Beijing, Xi'an",8D/7N,4-Star Hotel,Breakfast + Dinner,"Private Transfers, High-Speed Train","Great Wall, Forbidden City, Terracotta Army, Bell Tower","Cultural Tours, Museum Visits, Family Activities",Family,Families,4.8,145000
CHN003,China Romantic Escape,China,"Shanghai, Hangzhou",7D/6N,5-Star Hotel,Breakfast + Romantic Dinner,Private Transfers,"West Lake, The Bund, Oriental Pearl Tower, Xintiandi","Sunset Cruise, Tea Plantation Visit, Spa",Honeymoon,Couples,4.9,195000
CHN004,China Adventure Expedition,China,"Zhangjiajie, Guilin",9D/8N,4-Star Hotel,Breakfast,"Domestic Flights, Private Coach","Zhangjiajie National Forest Park, Glass Bridge, Li River, Reed Flute Cave","Hiking, Cable Car Ride, River Cruise",Adventure,Adventure Lovers,4.8,185000
CHN005,China Luxury Escape,China,"Beijing, Shanghai, Hangzhou",10D/9N,5-Star Luxury Hotel,All Meals,"Business Class Domestic Flights, Private Transfers","Great Wall, Forbidden City, West Lake, The Bund","Private City Tours, Luxury Shopping, Fine Dining, Spa",Luxury,Premium Travelers,5,325000
CHN006,China Cultural Heritage Tour,China,"Beijing, Xi'an, Luoyang",9D/8N,4-Star Hotel,Breakfast,"High-Speed Train, Private Coach","Forbidden City, Temple of Heaven, Terracotta Army, Longmen Grottoes","Heritage Walks, Museum Tours, Traditional Performances",Cultural,History Enthusiasts,4.8,165000
CHN007,China Nature Explorer,China,"Jiuzhaigou, Huangshan",8D/7N,Eco Resort,Breakfast + Dinner,"Domestic Flights, Shared Transfers","Jiuzhaigou Valley, Huangshan (Yellow Mountain), Five Flower Lake","Hiking, Photography, Nature Trails",Nature & Wildlife,Nature Lovers,4.9,175000
CHN008,Ultimate China Grand Tour,China,"Beijing, Xi'an, Shanghai, Guilin, Zhangjiajie",15D/14N,5-Star Hotels,Breakfast + Dinner,"Domestic Flights, High-Speed Train, Private Transfers","Great Wall, Forbidden City, Terracotta Army, The Bund, Li River, Zhangjiajie National Forest Park","City Tours, River Cruise, Hiking, Cultural Shows, Shopping",Grand Tour,All Travelers,5,395000
FRA001,France Budget Explorer,France,"Paris, Lyon",6D/5N,3-Star Hotel,Breakfast,"Airport Transfers, High-Speed Train","Eiffel Tower, Louvre Museum, Notre-Dame Cathedral, Basilica of Notre-Dame de Fourvi�re","City Tours, Museum Visits, Shopping",Budget,"Students, Solo Travelers",4.5,120000
FRA002,France Family Discovery,France,"Paris, Disneyland Paris",7D/6N,4-Star Hotel,Breakfast + Dinner,Private Transfers,"Eiffel Tower, Disneyland Paris, Seine River, Arc de Triomphe","Theme Park Visits, River Cruise, Family Sightseeing",Family,Families,4.8,185000
FRA003,France Romantic Escape,France,"Paris, Nice",7D/6N,5-Star Hotel,Breakfast + Romantic Dinner,"Domestic Flight, Private Transfers","Eiffel Tower, Champs-�lys�es, Promenade des Anglais, French Riviera","Sunset Cruise, Wine Tasting, Spa, Fine Dining",Honeymoon,Couples,4.9,255000
FRA004,France Adventure Expedition,France,"Chamonix, Annecy",8D/7N,4-Star Mountain Lodge,Breakfast,Private Transfers,"Mont Blanc, Aiguille du Midi, Lake Annecy","Hiking, Cable Car Ride, Paragliding, Mountain Biking",Adventure,Adventure Lovers,4.8,225000
FRA005,France Luxury Escape,France,"Paris, Nice, Monaco",10D/9N,5-Star Luxury Hotel,All Meals,"Business Class Domestic Flights, Private Transfers","Eiffel Tower, Palace of Versailles, French Riviera, Monte Carlo","Private Yacht, Luxury Shopping, Michelin-Star Dining, Spa",Luxury,Premium Travelers,5,445000
FRA006,France Cultural Heritage Tour,France,"Paris, Strasbourg",8D/7N,4-Star Hotel,Breakfast,"High-Speed Train, Private Coach","Louvre Museum, Palace of Versailles, Strasbourg Cathedral, Montmartre","Heritage Walks, Museum Tours, Cultural Shows",Cultural,History Enthusiasts,4.8,175000
FRA007,France Nature Explorer,France,"Provence, Loire Valley",8D/7N,Eco Resort,Breakfast + Dinner,Private Coach,"Lavender Fields, Loire Valley Castles, Verdon Gorge","Nature Walks, Cycling, Photography, Vineyard Tours",Nature & Wildlife,Nature Lovers,4.7,195000
FRA008,Ultimate France Grand Tour,France,"Paris, Lyon, Nice, Strasbourg, Provence",14D/13N,5-Star Hotels,Breakfast + Dinner,"High-Speed Train, Domestic Flights, Private Transfers","Eiffel Tower, Louvre Museum, Palace of Versailles, French Riviera, Loire Valley, Provence Lavender Fields","City Tours, Wine Tasting, River Cruise, Shopping, Cultural Experiences",Grand Tour,All Travelers,5,495000
GER001,Germany Budget Explorer,Germany,"Berlin, Munich",6D/5N,3-Star Hotel,Breakfast,"Airport Transfers, High-Speed Train","Brandenburg Gate, Berlin Wall Memorial, Marienplatz, English Garden","City Tours, Museum Visits, Shopping",Budget,"Students, Solo Travelers",4.5,115000
GER002,Germany Family Discovery,Germany,"Munich, Stuttgart",7D/6N,4-Star Hotel,Breakfast + Dinner,Private Transfers,"BMW Museum, Mercedes-Benz Museum, Nymphenburg Palace, Munich Zoo","Museum Visits, Family Sightseeing, Cultural Experiences",Family,Families,4.8,175000
GER003,Germany Romantic Escape,Germany,"Munich, F�ssen",7D/6N,5-Star Hotel,Breakfast + Romantic Dinner,Private Transfers,"Neuschwanstein Castle, Marienplatz, Alpsee Lake","Castle Tour, Spa, Romantic Dinner Cruise, Scenic Drives",Honeymoon,Couples,4.9,245000
GER004,Germany Adventure Expedition,Germany,"Garmisch-Partenkirchen, Black Forest",8D/7N,Mountain Lodge,Breakfast,Private Coach,"Zugspitze, Black Forest, Triberg Waterfalls","Hiking, Cable Car Ride, Mountain Biking, Ziplining",Adventure,Adventure Lovers,4.8,210000
GER005,Germany Luxury Escape,Germany,"Berlin, Munich, Heidelberg",10D/9N,5-Star Luxury Hotel,All Meals,"Business Class Domestic Flights, Private Transfers","Brandenburg Gate, Heidelberg Castle, Neuschwanstein Castle","Luxury Shopping, Fine Dining, Private City Tours, Spa",Luxury,Premium Travelers,5,395000
GER006,Germany Cultural Heritage Tour,Germany,"Berlin, Dresden, Leipzig",8D/7N,4-Star Hotel,Breakfast,"High-Speed Train, Private Coach","Museum Island, Zwinger Palace, Frauenkirche, Leipzig Old Town","Heritage Walks, Museum Tours, Classical Music Concert",Cultural,History Enthusiasts,4.8,165000
GER007,Germany Nature Explorer,Germany,"Black Forest, Berchtesgaden",8D/7N,Eco Resort,Breakfast + Dinner,Private Transfers,"Black Forest National Park, K�nigssee, Eagle's Nest","Hiking, Boat Ride, Wildlife Watching, Nature Photography",Nature & Wildlife,Nature Lovers,4.7,185000
GER008,Ultimate Germany Grand Tour,Germany,"Berlin, Hamburg, Munich, Heidelberg, Black Forest",14D/13N,5-Star Hotels,Breakfast + Dinner,"High-Speed Train, Domestic Flights, Private Transfers","Brandenburg Gate, Miniatur Wunderland, Neuschwanstein Castle, Heidelberg Castle, Black Forest","City Tours, River Cruise, Cultural Shows, Shopping, Nature Excursions",Grand Tour,All Travelers,5,475000
GRE001,Greece Budget Explorer,Greece,"Athens, Thessaloniki",6D/5N,3-Star Hotel,Breakfast,"Airport Transfers, Intercity Bus","Acropolis, Parthenon, White Tower, Aristotelous Square","City Tours, Museum Visits, Local Market Shopping",Budget,"Students, Solo Travelers",4.5,85000
GRE002,Greece Family Discovery,Greece,"Athens, Crete",7D/6N,4-Star Hotel,Breakfast + Dinner,"Domestic Flight, Private Transfers","Knossos Palace, Acropolis Museum, Elafonissi Beach","Beach Activities, Historical Tours, Family Excursions",Family,Families,4.8,145000
GRE003,Greece Romantic Escape,Greece,"Santorini, Mykonos",7D/6N,5-Star Cliffside Resort,Breakfast + Romantic Dinner,"High-Speed Ferry, Private Transfers","Oia Village, Red Beach, Little Venice, Windmills","Sunset Cruise, Wine Tasting, Couples Spa, Fine Dining",Honeymoon,Couples,4.9,225000
GRE004,Greece Adventure Expedition,Greece,"Meteora, Crete",8D/7N,4-Star Hotel,Breakfast,"Rental Car, Private Transfers","Meteora Monasteries, Samaria Gorge, Balos Lagoon","Hiking, Rock Climbing, Gorge Trekking, Kayaking",Adventure,Adventure Lovers,4.8,175000
GRE005,Greece Luxury Escape,Greece,"Athens, Santorini, Mykonos",10D/9N,5-Star Luxury Resort,All Meals,"Domestic Flights, Luxury Yacht Transfers","Acropolis, Oia, Paradise Beach, Delos Island","Private Yacht Cruise, Helicopter Tour, Luxury Shopping, Spa",Luxury,Premium Travelers,5,365000
GRE006,Greece Cultural Heritage Tour,Greece,"Athens, Delphi, Olympia",8D/7N,4-Star Hotel,Breakfast,Private Coach,"Acropolis, Delphi Archaeological Site, Ancient Olympia, Temple of Zeus","Guided Heritage Tours, Museum Visits, Cultural Performances",Cultural,History Enthusiasts,4.8,155000
GRE007,Greece Nature Explorer,Greece,"Zakynthos, Corfu",8D/7N,Eco Resort,Breakfast + Dinner,"Ferry, Private Transfers","Navagio Beach, Blue Caves, Corfu Old Town","Snorkeling, Boat Tours, Nature Walks, Turtle Watching",Nature & Wildlife,Nature Lovers,4.8,165000
GRE008,Ultimate Greece Grand Tour,Greece,"Athens, Santorini, Mykonos, Crete, Delphi",14D/13N,5-Star Hotels,Breakfast + Dinner,"Domestic Flights, Ferries, Private Transfers","Acropolis, Oia Village, Knossos Palace, Navagio Beach, Delphi","Island Hopping, Sunset Cruises, Historical Tours, Beach Activities, Shopping",Grand Tour,All Travelers,5,425000
IDN001,Indonesia Budget Explorer,Indonesia,"Bali, Ubud",7D/6N,3-Star Hotel,Breakfast,"Airport Transfers, Shared Coach","Tanah Lot Temple, Ubud Monkey Forest, Tegallalang Rice Terraces, Kuta Beach","Temple Visits, Beach Walks, Shopping",Budget,"Students, Solo Travelers",4.5,75000
IDN002,Indonesia Family Discovery,Indonesia,"Bali, Nusa Dua",8D/7N,4-Star Resort,Breakfast + Dinner,Private Transfers,"Garuda Wisnu Kencana, Bali Safari & Marine Park, Nusa Dua Beach, Uluwatu Temple","Cultural Shows, Beach Activities, Family Excursions",Family,Families,4.8,125000
IDN003,Indonesia Romantic Escape,Indonesia,"Bali, Gili Islands",7D/6N,5-Star Beach Resort,Breakfast + Romantic Dinner,"Speedboat, Private Transfers","Uluwatu Temple, Gili Trawangan, Seminyak Beach, Ubud","Sunset Cruise, Couples Spa, Candlelight Dinner, Beach Relaxation",Honeymoon,Couples,4.9,185000
IDN004,Indonesia Adventure Expedition,Indonesia,"Lombok, Komodo Island",9D/8N,4-Star Hotel,Breakfast,"Domestic Flight, Boat Transfers","Mount Rinjani, Komodo National Park, Pink Beach","Trekking, Scuba Diving, Snorkeling, Island Hopping",Adventure,Adventure Lovers,4.8,175000
IDN005,Indonesia Luxury Escape,Indonesia,"Bali, Ubud, Nusa Penida",10D/9N,5-Star Luxury Resort,All Meals,"Private Luxury Transfers, Speedboat","Nusa Penida, Ubud Palace, Tanah Lot, Seminyak","Private Villa Stay, Yacht Cruise, Spa, Fine Dining",Luxury,Premium Travelers,5,325000
IDN006,Indonesia Cultural Heritage Tour,Indonesia,"Yogyakarta, Bali",8D/7N,4-Star Hotel,Breakfast,"Domestic Flight, Private Coach","Borobudur Temple, Prambanan Temple, Ubud Palace, Tirta Empul Temple","Heritage Walks, Traditional Dance Show, Batik Workshop",Cultural,History Enthusiasts,4.8,145000
IDN007,Indonesia Nature Explorer,Indonesia,"Raja Ampat, Bali",9D/8N,Eco Resort,Breakfast + Dinner,"Domestic Flights, Boat Transfers","Raja Ampat Islands, West Papua Marine Park, Tegenungan Waterfall","Snorkeling, Wildlife Watching, Kayaking, Nature Photography",Nature & Wildlife,Nature Lovers,4.9,225000
IDN008,Ultimate Indonesia Grand Tour,Indonesia,"Bali, Ubud, Lombok, Komodo Island, Yogyakarta",14D/13N,5-Star Hotels,Breakfast + Dinner,"Domestic Flights, Ferries, Private Transfers","Tanah Lot Temple, Borobudur, Komodo National Park, Mount Batur, Nusa Penida","Island Hopping, Cultural Tours, Beach Activities, Trekking, Shopping",Grand Tour,All Travelers,5,395000
ITA001,Italy Budget Explorer,Italy,"Rome, Florence",6D/5N,3-Star Hotel,Breakfast,"Airport Transfers, High-Speed Train","Colosseum, Roman Forum, Florence Cathedral, Ponte Vecchio","City Tours, Museum Visits, Shopping",Budget,"Students, Solo Travelers",4.5,110000
ITA002,Italy Family Discovery,Italy,"Rome, Venice",7D/6N,4-Star Hotel,Breakfast + Dinner,"Private Transfers, High-Speed Train","Colosseum, Vatican Museums, St. Mark's Basilica, Grand Canal","Gondola Ride, Family Sightseeing, Cultural Tours",Family,Families,4.8,170000
ITA003,Italy Romantic Escape,Italy,"Venice, Amalfi Coast",7D/6N,5-Star Luxury Hotel,Breakfast + Romantic Dinner,"Private Transfers, Domestic Flight","Grand Canal, Rialto Bridge, Positano, Amalfi Coast","Gondola Ride, Sunset Cruise, Couples Spa, Fine Dining",Honeymoon,Couples,4.9,245000
ITA004,Italy Adventure Expedition,Italy,"Dolomites, Lake Garda",8D/7N,Mountain Lodge,Breakfast,"Rental Car, Private Transfers","Tre Cime di Lavaredo, Lake Garda, Seceda Ridge","Hiking, Rock Climbing, Cycling, Cable Car Ride",Adventure,Adventure Lovers,4.8,195000
ITA005,Italy Luxury Escape,Italy,"Rome, Florence, Venice, Milan",10D/9N,5-Star Luxury Hotel,All Meals,"Business Class Domestic Flights, Private Transfers","Colosseum, Vatican City, Duomo di Milano, Grand Canal","Private City Tours, Luxury Shopping, Michelin-Star Dining, Wine Tasting",Luxury,Premium Travelers,5,415000
ITA006,Italy Cultural Heritage Tour,Italy,"Rome, Florence, Pisa",8D/7N,4-Star Hotel,Breakfast,"High-Speed Train, Private Coach","Colosseum, Vatican Museums, Leaning Tower of Pisa, Uffizi Gallery","Heritage Walks, Museum Tours, Renaissance Art Experience",Cultural,History Enthusiasts,4.8,165000
ITA007,Italy Nature Explorer,Italy,"Cinque Terre, Lake Como",8D/7N,Eco Resort,Breakfast + Dinner,"Train, Private Transfers","Cinque Terre National Park, Lake Como, Bellagio","Coastal Hiking, Boat Cruise, Nature Photography",Nature & Wildlife,Nature Lovers,4.8,185000
ITA008,Ultimate Italy Grand Tour,Italy,"Rome, Florence, Venice, Milan, Naples, Amalfi Coast",14D/13N,5-Star Hotels,Breakfast + Dinner,"High-Speed Trains, Domestic Flight, Private Transfers","Colosseum, Vatican City, Leaning Tower of Pisa, Grand Canal, Duomo di Milano, Pompeii, Amalfi Coast","City Tours, Gondola Ride, Wine Tasting, Shopping, Coastal Excursions",Grand Tour,All Travelers,5,465000
JAP001,Japan Budget Explorer,Japan,"Tokyo, Osaka",7D/6N,3-Star Hotel,Breakfast,"Airport Transfers, Shinkansen (Bullet Train)","Tokyo Tower, Shibuya Crossing, Osaka Castle, Dotonbori","City Tours, Shopping, Street Food Experience",Budget,"Students, Solo Travelers",4.6,135000
JAP002,Japan Family Discovery,Japan,"Tokyo, Kyoto",8D/7N,4-Star Hotel,Breakfast + Dinner,"Private Transfers, Shinkansen","Tokyo Disneyland, Fushimi Inari Shrine, Arashiyama Bamboo Forest, Asakusa Temple","Theme Parks, Cultural Experiences, Family Sightseeing",Family,Families,4.8,185000
JAP003,Japan Romantic Escape,Japan,"Kyoto, Hakone",7D/6N,5-Star Ryokan & Resort,Breakfast + Romantic Dinner,"Private Transfers, Bullet Train","Mount Fuji, Lake Ashi, Kiyomizu-dera Temple, Gion District","Onsen Experience, Lake Cruise, Tea Ceremony, Couples Spa",Honeymoon,Couples,4.9,255000
JAP004,Japan Adventure Expedition,Japan,"Hokkaido, Nagano",9D/8N,Mountain Lodge,Breakfast,"Domestic Flight, Private Transfers","Niseko Ski Resort, Jigokudani Snow Monkey Park, Shiretoko National Park","Skiing, Snowboarding, Hiking, Wildlife Viewing",Adventure,Adventure Lovers,4.9,245000
JAP005,Japan Luxury Escape,Japan,"Tokyo, Kyoto, Osaka",10D/9N,5-Star Luxury Hotel,All Meals,"Business Class Domestic Flight, Private Chauffeur","Imperial Palace, Ginza, Kinkaku-ji, Osaka Castle","Michelin-Star Dining, Private City Tours, Luxury Shopping, Helicopter Ride",Luxury,Premium Travelers,5,435000
JAP006,Japan Cultural Heritage Tour,Japan,"Kyoto, Nara",8D/7N,4-Star Traditional Hotel,Breakfast,"Shinkansen, Private Coach","Fushimi Inari Shrine, Kinkaku-ji, Todai-ji Temple, Nara Park","Tea Ceremony, Kimono Experience, Temple Tours, Cultural Performances",Cultural,History Enthusiasts,4.9,175000
JAP007,Japan Nature Explorer,Japan,"Hakone, Fuji Five Lakes",8D/7N,Eco Resort,Breakfast + Dinner,Private Transfers,"Mount Fuji, Lake Kawaguchi, Owakudani Valley, Chureito Pagoda","Nature Walks, Ropeway Ride, Hot Springs, Photography",Nature & Wildlife,Nature Lovers,4.8,195000
JAP008,Ultimate Japan Grand Tour,Japan,"Tokyo, Kyoto, Osaka, Nara, Hakone, Hiroshima",15D/14N,5-Star Hotels,Breakfast + Dinner,"Shinkansen, Domestic Flight, Private Transfers","Mount Fuji, Tokyo Skytree, Fushimi Inari Shrine, Osaka Castle, Hiroshima Peace Memorial Park, Miyajima Island","City Tours, Cultural Experiences, Onsen Stay, Shopping, Scenic Cruises",Grand Tour,All Travelers,5,495000
